track_name,track_artist,decade,track_id,year,track_album_release_date,playlist_genre,Energy,Danceability,Valence,Acousticness,Instrumentalness
Renai Circulation (Bakemonogatari),Otaku,20s,4k3bQolPVSky3itPqhsrlY,2021,2021-04-16,lofi,0.25936913082607904,0.6011303119226171,0.19260497179862127,0.19678425346934736,0.9091826437941474
Morning Dew,LoFi Waiter,20s,5HP4HRtDkhDFYdchIrSIZt,2021,2021-01-22,lofi,0.4157134009088012,0.6576459080534726,0.15813662001253392,0.4267047609137467,0.7527749747729566
Bon Voyage (One Piece),Ren Avel,20s,3W1Qi1SlToxa2AUhNk85iy,2022,2022-06-24,lofi,0.2954485777682457,0.7054667970872731,0.17798203467725088,0.9829316653862236,0.9525731584258325
Hacking to the Gate (Stein;Gate),"Otaku, LoFi Waiter",20s,2pCNTrsuKNerjXXSJK2kzP,2021,2021-04-16,lofi,0.2984551983467596,0.5859145745027714,0.09860037601838312,0.29417416273618896,0.8970736629667003
The Day (My Hero Academia),Otaku,20s,4zQ4d7cQk1aMBD7P3cuiBo,2021,2021-04-16,lofi,0.18821244380125035,0.6250407564395175,0.3733026947984123,0.5973881070515104,0.9031281533804238
Sing My Pleasure (Vivy Fluorite Eye's Song),Ren Avel,20s,4E4En3cRp1Uy0y7g7qcQkS,2022,2022-06-24,lofi,0.5530157406609354,0.6424301706336268,0.3743471903070817,0.9086342088321383,0.9303733602421796
Tank! (Cowboy Bebop),"Otaku, LoFi Waiter",20s,2X7iYoVNlL7aXjqViBO77q,2021,2021-04-16,lofi,0.5860885670245881,0.7500271709596783,0.5445999582201797,0.30321033988465884,0.9041372351160444
Colors (Code Geass),Ren Avel,20s,53MxojtmLNjucrqs0GguYU,2021,2021-04-09,lofi,0.4618149164460142,0.5489620693402891,0.4432838938792563,0.9477909764755075,0.9334006054490415
black roses,mood.,20s,1nR2dLSV4UXr9r8UFBECqQ,2021,2021-02-19,lofi,0.49889657024768547,0.8902293228996848,0.029350323793607688,0.05300863484036052,0.8748738647830474
Guren no Yumiya (Attack on Titan),Ren Avel,20s,2FsnxylMs0MttrT3yBKy1c,2022,2022-06-24,lofi,0.5219473280162918,0.7674165851537876,0.5257990390641321,0.9447789174260176,0.8244197780020182
Let It Flow,Altair Blake,20s,2M8MoD4yS6OZ7kccpmzM5j,2020,2020-11-06,lofi,0.41370898718979193,0.634822301923704,0.41194902861917687,0.11746669849944541,0.8405650857719476
Jazzy Afternoon,LoFi Waiter,20s,4piWGWlGPmzxSmFj3gbdZB,2021,2021-02-03,lofi,0.5209451211567873,0.6685142919247908,0.20409442239398373,0.7750995909714172,0.953582240161453
National Park (Pokémon Gold & Silver),Ren Avel,20s,1lltkINLmQuAYvVNScAU5p,2021,2021-04-09,lofi,0.46983257132205114,0.7000326051516139,0.3043659912262377,0.6887538982193722,0.9485368314833501
Kimi ni Todoke (Kimi ni Todoke),Ren Avel,20s,05H6948bWZZXTLDmq4XW6N,2022,2022-06-24,lofi,0.4658237438840327,0.7054667970872731,0.2448297472320869,0.9377507796438744,0.9162462159434914
Japanese Winter,LoFi Waiter,20s,2Y07pojl0DkC41zg0Vfvgo,2021,2021-02-03,lofi,0.5720576709915233,0.8543636561243343,0.6553164821391269,0.39859220978517385,0.8728557013118062
Hyper Printing,Satoshi Nakamoto,20s,0K3kC7FJYMyxcORN66kLOl,2021,2021-02-05,lofi,0.4016825048757364,0.6869905445060319,0.405682055567161,0.2680696509739428,0.9243188698284561
This Game (No Game No Life),Otaku,20s,0i4FFEupAyk8bfnTZrH1Vr,2021,2021-04-16,lofi,0.5560223612394493,0.6598195848277362,0.562356381867558,0.2740937690729227,0.9071644803229062
Have a Nice Day,LoFi Waiter,20s,6g7ZDt74S5zNaKNIFllOHk,2020,2020-09-18,lofi,0.07857101337144393,0.6967720899902184,0.562356381867558,0.6455810518433495,0.9495459132189706
Lake (Pokémon Diamond & Pearl),Ren Avel,20s,5XriZCsPQCmo4V54I9oHLn,2022,2022-06-24,lofi,0.5480047063634123,0.5946092815998261,0.34196782953833293,0.7851397878030504,0.9354187689202826
Lost Woods (The Legend of Zelda),Ren Avel,20s,61HLlAtWG7WJeSV5bjFmOe,2021,2021-04-09,lofi,0.5029053976857039,0.667427453537659,0.7075412575725925,0.6857418391698822,0.953582240161453
