decade,playlist_genre,count,prev_count,change
00s,jazz,18.0,17.0,1.0
10s,jazz,8.0,18.0,-10.0
20s,jazz,102.0,8.0,94.0
50s,k-pop,0.0,,0.0
60s,k-pop,0.0,0.0,0.0
70s,k-pop,0.0,0.0,0.0
80s,k-pop,0.0,0.0,0.0
90s,k-pop,0.0,0.0,0.0
00s,k-pop,0.0,0.0,0.0
10s,k-pop,0.0,0.0,0.0
20s,k-pop,17.0,0.0,17.0
50s,korean,0.0,,0.0
60s,korean,0.0,0.0,0.0
70s,korean,0.0,0.0,0.0
80s,korean,1.0,0.0,1.0
90s,korean,1.0,1.0,0.0
00s,korean,1.0,1.0,0.0
10s,korean,15.0,1.0,14.0
20s,korean,16.0,15.0,1.0
50s,latin,0.0,,0.0
60s,latin,0.0,0.0,0.0
70s,latin,0.0,0.0,0.0
80s,latin,0.0,0.0,0.0
90s,latin,6.0,0.0,6.0
00s,latin,16.0,6.0,10.0
10s,latin,97.0,16.0,81.0
20s,latin,306.0,97.0,209.0
50s,lofi,0.0,,0.0
60s,lofi,0.0,0.0,0.0
70s,lofi,0.0,0.0,0.0
80s,lofi,0.0,0.0,0.0
90s,lofi,0.0,0.0,0.0
00s,lofi,0.0,0.0,0.0
10s,lofi,17.0,0.0,17.0
20s,lofi,282.0,17.0,265.0
50s,mandopop,0.0,,0.0
60s,mandopop,0.0,0.0,0.0
70s,mandopop,0.0,0.0,0.0
80s,mandopop,0.0,0.0,0.0
90s,mandopop,0.0,0.0,0.0
00s,mandopop,0.0,0.0,0.0
10s,mandopop,0.0,0.0,0.0
20s,mandopop,14.0,0.0,14.0
50s,metal,0.0,,0.0
60s,metal,0.0,0.0,0.0
70s,metal,0.0,0.0,0.0
80s,metal,9.0,0.0,9.0
90s,metal,23.0,9.0,14.0
00s,metal,8.0,23.0,-15.0
10s,metal,7.0,8.0,-1.0
20s,metal,2.0,7.0,-5.0
50s,pop,1.0,,1.0
60s,pop,1.0,1.0,0.0
70s,pop,12.0,1.0,11.0
80s,pop,19.0,12.0,7.0
90s,pop,21.0,19.0,2.0
00s,pop,56.0,21.0,35.0
10s,pop,174.0,56.0,118.0
20s,pop,231.0,174.0,57.0
50s,punk,0.0,,0.0
60s,punk,0.0,0.0,0.0
70s,punk,0.0,0.0,0.0
80s,punk,0.0,0.0,0.0
90s,punk,4.0,0.0,4.0
00s,punk,52.0,4.0,48.0
10s,punk,18.0,52.0,-34.0
20s,punk,0.0,18.0,-18.0
50s,r&b,0.0,,0.0
60s,r&b,0.0,0.0,0.0
70s,r&b,0.0,0.0,0.0
80s,r&b,0.0,0.0,0.0
90s,r&b,1.0,0.0,1.0
00s,r&b,20.0,1.0,19.0
10s,r&b,16.0,20.0,-4.0
20s,r&b,13.0,16.0,-3.0
50s,reggae,0.0,,0.0
60s,reggae,0.0,0.0,0.0
70s,reggae,0.0,0.0,0.0
80s,reggae,2.0,0.0,2.0
90s,reggae,5.0,2.0,3.0
00s,reggae,5.0,5.0,0.0
10s,reggae,8.0,5.0,3.0
20s,reggae,4.0,8.0,-4.0
50s,rock,0.0,,0.0
60s,rock,7.0,0.0,7.0
70s,rock,36.0,7.0,29.0
80s,rock,67.0,36.0,31.0
90s,rock,59.0,67.0,-8.0
00s,rock,62.0,59.0,3.0
10s,rock,32.0,62.0,-30.0
20s,rock,82.0,32.0,50.0
50s,soca,0.0,,0.0
60s,soca,0.0,0.0,0.0
70s,soca,0.0,0.0,0.0
80s,soca,0.0,0.0,0.0
90s,soca,1.0,0.0,1.0
00s,soca,0.0,1.0,-1.0
10s,soca,9.0,0.0,9.0
20s,soca,4.0,9.0,-5.0
50s,soul,0.0,,0.0
60s,soul,0.0,0.0,0.0
70s,soul,0.0,0.0,0.0
80s,soul,0.0,0.0,0.0
90s,soul,0.0,0.0,0.0
00s,soul,0.0,0.0,0.0
10s,soul,0.0,0.0,0.0
20s,soul,44.0,0.0,44.0
50s,turkish,0.0,,0.0
60s,turkish,0.0,0.0,0.0
70s,turkish,0.0,0.0,0.0
80s,turkish,0.0,0.0,0.0
90s,turkish,0.0,0.0,0.0
00s,turkish,0.0,0.0,0.0
10s,turkish,0.0,0.0,0.0
20s,turkish,71.0,0.0,71.0
50s,wellness,0.0,,0.0
60s,wellness,0.0,0.0,0.0
70s,wellness,0.0,0.0,0.0
80s,wellness,0.0,0.0,0.0
90s,wellness,0.0,0.0,0.0
00s,wellness,0.0,0.0,0.0
10s,wellness,0.0,0.0,0.0
20s,wellness,80.0,0.0,80.0
50s,world,0.0,,0.0
60s,world,0.0,0.0,0.0
70s,world,0.0,0.0,0.0
80s,world,0.0,0.0,0.0
90s,world,8.0,0.0,8.0
00s,world,17.0,8.0,9.0
10s,world,76.0,17.0,59.0
20s,world,127.0,76.0,51.0
